Age,AgeGroup,Gender,MaritalStatus,Education,Education_Label,EducationField,Department,JobRole,JobLevel,BusinessTravel,OverTime,DistanceFromHome,MonthlyIncome,IncomeGroup,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,TenureGroup,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,NumCompaniesWorked,JobSatisfaction,JobSatisfaction_Label,EnvironmentSatisfaction,EnvironmentSatisfaction_Label,WorkLifeBalance,WorkLifeBalance_Label,JobInvolvement,RelationshipSatisfaction,PerformanceRating,PerformanceRating_Label,Attrition,AttritionBinary,AttritionRiskScore,RiskTier,OverTimeFlag
34,26–35,Male,Married,3,Bachelor,Life Sciences,Sales,Manager,2,Travel_Rarely,Yes,29,5522,Medium,13,0,4,0,0–1 yr,0,0,1,9,2,Medium,3,High,3,Better,4,2,3,Excellent,Yes,1,0.753,High Risk,1
37,36–45,Female,Single,3,Bachelor,Medical,Human Resources,Human Resources,2,Travel_Rarely,Yes,3,3432,Medium,16,1,1,0,0–1 yr,0,0,8,1,3,High,1,Low,2,Good,2,4,3,Excellent,Yes,1,0.613,High Risk,1
34,26–35,Male,Married,4,Master,Medical,Research & Development,Research Scientist,1,Travel_Rarely,No,8,2930,Low,23,0,2,6,4–7 yr,4,1,13,8,4,Very High,3,High,3,Better,4,4,3,Excellent,No,0,0.149,Low Risk,0
36,36–45,Male,Single,4,Master,Medical,Sales,Sales Representative,1,Travel_Rarely,Yes,1,4412,Medium,16,0,1,9,8–15 yr,4,1,17,0,4,Very High,3,High,4,Best,3,3,3,Excellent,No,0,0.3,Medium Risk,1
27,26–35,Female,Married,3,Bachelor,Technical Degree,Sales,Sales Executive,4,Travel_Frequently,No,1,3903,Medium,16,1,3,26,15+ yr,8,3,40,4,1,Low,2,Medium,3,Better,3,2,3,Excellent,No,0,0.142,Low Risk,0
24,18–25,Female,Married,3,Bachelor,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,No,16,7024,High,20,0,2,2,2–3 yr,1,0,11,4,2,Medium,4,Very High,3,Better,4,4,3,Excellent,Yes,1,0.574,High Risk,0
48,46–60,Male,Married,2,College,Life Sciences,Sales,Sales Representative,1,Non-Travel,No,10,2512,Low,25,1,2,5,4–7 yr,1,0,17,7,3,High,4,Very High,2,Good,3,4,3,Excellent,No,0,0.255,Medium Risk,0
29,26–35,Male,Divorced,5,Doctor,Technical Degree,Research & Development,Research Director,2,Travel_Rarely,No,3,8361,High,12,0,3,16,15+ yr,4,2,19,5,4,Very High,3,High,4,Best,3,4,3,Excellent,No,0,0.035,Low Risk,0
28,26–35,Female,Single,1,Below College,Life Sciences,Research & Development,Research Director,2,Travel_Frequently,No,5,15818,Very High,19,1,2,1,0–1 yr,0,0,4,5,1,Low,4,Very High,3,Better,4,4,3,Excellent,No,0,0.413,Medium Risk,0
18,18–25,Male,Married,3,Bachelor,Other,Sales,Manager,3,Travel_Rarely,No,1,3834,Medium,18,1,1,7,4–7 yr,2,1,18,5,4,Very High,4,Very High,2,Good,3,2,3,Excellent,No,0,0.195,Low Risk,0
30,26–35,Female,Married,3,Bachelor,Technical Degree,Research & Development,Healthcare Representative,2,Travel_Rarely,No,9,6419,High,17,1,3,8,8–15 yr,3,1,15,3,3,High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.05,Low Risk,0
25,18–25,Female,Married,3,Bachelor,Medical,Sales,Sales Executive,1,Non-Travel,No,1,2733,Low,21,1,4,0,0–1 yr,0,0,0,0,4,Very High,4,Very High,1,Bad,2,2,3,Excellent,No,0,0.366,Medium Risk,0
49,46–60,Female,Divorced,2,College,Other,Sales,Manager,3,Travel_Rarely,No,11,9924,High,24,0,2,11,8–15 yr,3,1,18,2,2,Medium,2,Medium,2,Good,4,4,3,Excellent,No,0,0.188,Low Risk,0
44,36–45,Male,Divorced,4,Master,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,No,6,2610,Low,22,0,2,10,8–15 yr,4,2,16,9,2,Medium,3,High,2,Good,3,4,3,Excellent,Yes,1,0.345,Medium Risk,0
30,26–35,Male,Divorced,2,College,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,No,2,6249,High,22,0,1,0,0–1 yr,0,0,11,5,4,Very High,4,Very High,2,Good,3,3,3,Excellent,No,0,0.242,Low Risk,0
54,46–60,Female,Divorced,3,Bachelor,Medical,Research & Development,Research Scientist,2,Non-Travel,No,15,3176,Medium,25,0,3,0,0–1 yr,0,0,6,4,4,Very High,2,Medium,2,Good,3,4,3,Excellent,No,0,0.379,Medium Risk,0
43,36–45,Female,Divorced,2,College,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,Yes,29,4431,Medium,19,0,4,0,0–1 yr,0,0,8,9,4,Very High,4,Very High,3,Better,3,1,3,Excellent,No,0,0.458,Medium Risk,1
33,26–35,Female,Married,1,Below College,Human Resources,Research & Development,Research Scientist,2,Travel_Rarely,Yes,2,2935,Low,14,1,2,2,2–3 yr,1,0,16,0,4,Very High,3,High,4,Best,3,1,3,Excellent,No,0,0.519,High Risk,1
18,18–25,Male,Divorced,4,Master,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,No,13,5931,Medium,25,0,3,4,4–7 yr,1,0,16,4,1,Low,1,Low,3,Better,3,3,3,Excellent,No,0,0.231,Low Risk,0
54,46–60,Male,Married,2,College,Medical,Sales,Sales Representative,2,Travel_Rarely,Yes,11,3234,Medium,12,0,1,4,4–7 yr,1,0,13,1,2,Medium,3,High,3,Better,3,4,3,Excellent,No,0,0.457,Medium Risk,1
24,18–25,Female,Single,4,Master,Medical,Research & Development,Research Director,1,Non-Travel,No,11,5180,Medium,14,2,2,1,0–1 yr,0,0,7,0,2,Medium,1,Low,3,Better,2,3,4,Outstanding,Yes,1,0.728,High Risk,0
22,18–25,Female,Single,3,Bachelor,Medical,Sales,Manager,3,Travel_Rarely,Yes,25,4964,Medium,24,1,0,14,8–15 yr,7,3,28,3,4,Very High,1,Low,3,Better,3,2,3,Excellent,No,0,0.215,Low Risk,1
44,36–45,Female,Single,1,Below College,Life Sciences,Sales,Sales Representative,1,Travel_Rarely,No,5,3712,Medium,22,0,5,2,2–3 yr,1,0,3,5,3,High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.27,Medium Risk,0
55,46–60,Female,Married,5,Doctor,Life Sciences,Human Resources,Human Resources,1,Travel_Frequently,No,8,4232,Medium,20,0,3,0,0–1 yr,0,0,0,6,1,Low,3,High,3,Better,3,2,3,Excellent,Yes,1,0.493,Medium Risk,0
47,46–60,Male,Married,2,College,Technical Degree,Human Resources,Human Resources,3,Travel_Rarely,Yes,13,4028,Medium,21,0,2,2,2–3 yr,0,0,2,8,2,Medium,3,High,3,Better,3,4,3,Excellent,No,0,0.577,High Risk,1
40,36–45,Female,Single,4,Master,Life Sciences,Research & Development,Healthcare Representative,3,Non-Travel,No,5,6550,High,24,0,4,4,4–7 yr,1,0,10,4,4,Very High,2,Medium,3,Better,3,3,4,Outstanding,No,0,0.066,Low Risk,0
40,36–45,Female,Married,2,College,Technical Degree,Sales,Manager,3,Non-Travel,No,5,12675,Very High,13,2,2,3,2–3 yr,1,0,7,7,4,Very High,3,High,3,Better,2,3,4,Outstanding,No,0,0.084,Low Risk,0
42,36–45,Male,Single,4,Master,Medical,Sales,Sales Representative,2,Travel_Rarely,No,3,3330,Medium,12,0,1,1,0–1 yr,0,0,4,7,4,Very High,2,Medium,3,Better,4,2,3,Excellent,No,0,0.308,Medium Risk,0
42,36–45,Female,Divorced,1,Below College,Marketing,Research & Development,Research Scientist,1,Non-Travel,No,12,7063,High,12,1,5,0,0–1 yr,0,0,4,8,3,High,4,Very High,3,Better,4,4,3,Excellent,No,0,0.223,Low Risk,0
38,36–45,Male,Divorced,3,Bachelor,Marketing,Research & Development,Laboratory Technician,3,Travel_Rarely,Yes,9,12472,Very High,24,3,2,10,8–15 yr,8,4,19,2,4,Very High,4,Very High,3,Better,3,1,3,Excellent,No,0,0.295,Medium Risk,1
36,36–45,Male,Divorced,4,Master,Life Sciences,Sales,Sales Executive,3,Travel_Rarely,No,4,3920,Medium,18,1,5,33,15+ yr,19,15,40,2,2,Medium,4,Very High,4,Best,1,2,3,Excellent,No,0,0.108,Low Risk,0
35,26–35,Female,Single,4,Master,Medical,Research & Development,Research Scientist,1,Travel_Rarely,Yes,4,1899,Low,23,0,3,2,2–3 yr,0,0,7,8,2,Medium,2,Medium,3,Better,3,4,3,Excellent,No,0,0.683,High Risk,1
29,26–35,Male,Divorced,4,Master,Technical Degree,Sales,Sales Representative,4,Travel_Rarely,No,1,8000,High,15,1,6,2,2–3 yr,0,0,13,6,1,Low,3,High,2,Good,3,4,3,Excellent,No,0,0.291,Medium Risk,0
33,26–35,Male,Married,4,Master,Medical,Human Resources,Manager,1,Travel_Rarely,No,1,2989,Low,22,2,4,5,4–7 yr,3,0,19,3,2,Medium,4,Very High,3,Better,3,1,3,Excellent,No,0,0.401,Medium Risk,0
22,18–25,Male,Married,4,Master,Other,Sales,Sales Executive,5,Travel_Rarely,No,6,20000,Very High,24,1,1,7,4–7 yr,4,1,16,0,3,High,2,Medium,3,Better,3,4,3,Excellent,No,0,0.052,Low Risk,0
35,26–35,Male,Married,2,College,Medical,Research & Development,Laboratory Technician,4,Non-Travel,No,4,7001,High,16,2,4,2,2–3 yr,1,0,7,6,4,Very High,1,Low,3,Better,1,4,3,Excellent,No,0,0.165,Low Risk,0
28,26–35,Male,Married,2,College,Life Sciences,Sales,Manager,3,Travel_Rarely,No,12,3948,Medium,18,1,1,14,8–15 yr,9,4,14,9,2,Medium,4,Very High,3,Better,3,3,3,Excellent,No,0,0.194,Low Risk,0
27,26–35,Male,Divorced,2,College,Life Sciences,Research & Development,Manufacturing Director,4,Travel_Rarely,Yes,6,3876,Medium,17,2,3,4,4–7 yr,2,0,5,5,4,Very High,4,Very High,2,Good,3,3,3,Excellent,No,0,0.287,Medium Risk,1
37,36–45,Female,Married,3,Bachelor,Other,Research & Development,Healthcare Representative,3,Travel_Rarely,No,22,10170,Very High,17,3,3,3,2–3 yr,2,0,5,2,3,High,3,High,4,Best,4,3,3,Excellent,No,0,0.122,Low Risk,0
47,46–60,Male,Divorced,3,Bachelor,Life Sciences,Sales,Sales Representative,1,Non-Travel,No,1,2954,Low,22,1,3,6,4–7 yr,3,1,9,4,3,High,2,Medium,3,Better,3,3,3,Excellent,No,0,0.165,Low Risk,0
43,36–45,Male,Single,3,Bachelor,Technical Degree,Human Resources,Manager,2,Travel_Rarely,Yes,29,5023,Medium,23,1,4,18,15+ yr,13,3,23,2,3,High,3,High,3,Better,3,4,3,Excellent,No,0,0.346,Medium Risk,1
23,18–25,Male,Married,2,College,Human Resources,Research & Development,Research Director,1,Travel_Rarely,No,2,6340,High,17,1,4,9,8–15 yr,4,2,20,7,3,High,3,High,2,Good,3,1,3,Excellent,No,0,0.059,Low Risk,0
28,26–35,Female,Married,4,Master,Life Sciences,Human Resources,Manager,2,Travel_Rarely,No,8,3857,Medium,22,2,4,0,0–1 yr,0,0,11,4,2,Medium,3,High,3,Better,3,3,3,Excellent,No,0,0.505,High Risk,0
43,36–45,Male,Married,2,College,Life Sciences,Research & Development,Healthcare Representative,3,Travel_Rarely,Yes,5,5763,Medium,21,2,4,2,2–3 yr,1,0,12,9,4,Very High,3,High,3,Better,2,2,4,Outstanding,No,0,0.474,Medium Risk,1
28,26–35,Female,Divorced,3,Bachelor,Marketing,Research & Development,Research Director,2,Travel_Rarely,No,3,4874,Medium,21,0,2,3,2–3 yr,1,0,15,9,4,Very High,3,High,3,Better,3,3,3,Excellent,No,0,0.049,Low Risk,0
34,26–35,Female,Married,3,Bachelor,Life Sciences,Human Resources,Human Resources,2,Travel_Frequently,No,1,6916,High,17,1,4,2,2–3 yr,1,0,10,5,4,Very High,4,Very High,3,Better,2,3,3,Excellent,No,0,0.084,Low Risk,0
40,36–45,Female,Married,4,Master,Marketing,Sales,Sales Executive,2,Travel_Rarely,No,1,6603,High,18,2,3,7,4–7 yr,5,2,18,1,3,High,4,Very High,3,Better,1,4,4,Outstanding,No,0,0.033,Low Risk,0
28,26–35,Male,Married,4,Master,Medical,Sales,Manager,4,Travel_Rarely,No,9,6162,High,11,1,4,10,8–15 yr,3,0,11,7,4,Very High,4,Very High,2,Good,3,3,3,Excellent,No,0,0.056,Low Risk,0
36,36–45,Female,Married,3,Bachelor,Medical,Sales,Sales Representative,1,Travel_Rarely,No,3,4058,Medium,23,1,6,7,4–7 yr,4,2,14,8,4,Very High,2,Medium,3,Better,2,2,3,Excellent,No,0,0.075,Low Risk,0
25,18–25,Male,Single,2,College,Marketing,Sales,Sales Executive,2,Non-Travel,No,26,4081,Medium,13,0,1,27,15+ yr,10,0,35,2,4,Very High,3,High,3,Better,1,1,3,Excellent,No,0,0.106,Low Risk,0
31,26–35,Female,Married,3,Bachelor,Life Sciences,Research & Development,Manufacturing Director,1,Travel_Rarely,No,3,1877,Low,25,0,2,1,0–1 yr,0,0,2,5,3,High,1,Low,3,Better,3,4,3,Excellent,No,0,0.343,Medium Risk,0
38,36–45,Female,Married,1,Below College,Medical,Sales,Sales Executive,3,Travel_Rarely,No,29,6708,High,11,2,4,12,8–15 yr,9,0,20,5,4,Very High,3,High,3,Better,2,3,3,Excellent,No,0,0.062,Low Risk,0
23,18–25,Male,Divorced,3,Bachelor,Life Sciences,Research & Development,Healthcare Representative,1,Travel_Rarely,No,1,10126,Very High,18,3,1,8,8–15 yr,2,0,14,1,4,Very High,4,Very High,2,Good,3,4,3,Excellent,No,0,0.06,Low Risk,0
39,36–45,Male,Single,3,Bachelor,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Rarely,Yes,1,3790,Medium,12,0,3,2,2–3 yr,0,0,10,9,4,Very High,4,Very High,2,Good,3,3,3,Excellent,Yes,1,0.81,High Risk,1
35,26–35,Male,Married,1,Below College,Medical,Sales,Sales Executive,2,Travel_Rarely,No,2,3339,Medium,17,1,4,7,4–7 yr,4,2,12,7,1,Low,2,Medium,1,Bad,2,4,3,Excellent,Yes,1,0.483,Medium Risk,0
40,36–45,Female,Single,2,College,Technical Degree,Research & Development,Research Scientist,1,Travel_Rarely,Yes,17,2543,Low,16,2,0,0,0–1 yr,0,0,1,4,3,High,2,Medium,2,Good,4,4,3,Excellent,Yes,1,0.784,High Risk,1
37,36–45,Male,Single,5,Doctor,Life Sciences,Sales,Sales Representative,4,Travel_Rarely,No,5,9884,High,21,1,5,9,8–15 yr,2,1,16,7,3,High,1,Low,3,Better,3,1,3,Excellent,No,0,0.03,Low Risk,0
46,46–60,Male,Married,5,Doctor,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,No,1,4920,Medium,11,1,6,4,4–7 yr,2,1,13,7,1,Low,2,Medium,2,Good,3,4,3,Excellent,No,0,0.35,Medium Risk,0
37,36–45,Male,Single,3,Bachelor,Medical,Sales,Sales Representative,2,Non-Travel,Yes,1,4540,Medium,22,0,2,2,2–3 yr,1,0,16,2,2,Medium,3,High,3,Better,3,1,3,Excellent,No,0,0.574,High Risk,1
32,26–35,Female,Married,1,Below College,Life Sciences,Human Resources,Human Resources,1,Travel_Rarely,No,2,2484,Low,25,1,4,6,4–7 yr,2,0,14,4,4,Very High,3,High,3,Better,3,3,3,Excellent,No,0,0.173,Low Risk,0
36,36–45,Female,Married,2,College,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Rarely,No,7,5147,Medium,16,2,1,6,4–7 yr,4,1,17,6,3,High,2,Medium,3,Better,4,3,3,Excellent,No,0,0.056,Low Risk,0
40,36–45,Female,Single,3,Bachelor,Human Resources,Sales,Manager,2,Travel_Rarely,Yes,3,2247,Low,19,1,4,1,0–1 yr,0,0,8,4,2,Medium,2,Medium,3,Better,3,4,3,Excellent,Yes,1,0.848,High Risk,1
36,36–45,Female,Married,4,Master,Marketing,Sales,Sales Executive,2,Travel_Rarely,Yes,10,5280,Medium,13,1,3,0,0–1 yr,0,0,1,5,3,High,4,Very High,3,Better,3,3,3,Excellent,No,0,0.597,High Risk,1
36,36–45,Male,Single,2,College,Medical,Research & Development,Research Director,1,Travel_Rarely,No,7,6078,High,22,0,4,3,2–3 yr,2,1,17,1,1,Low,3,High,1,Bad,3,4,3,Excellent,Yes,1,0.286,Medium Risk,0
30,26–35,Male,Divorced,4,Master,Medical,Research & Development,Research Scientist,2,Travel_Frequently,Yes,16,2629,Low,17,3,2,5,4–7 yr,2,0,12,7,3,High,4,Very High,2,Good,4,3,3,Excellent,No,0,0.354,Medium Risk,1
30,26–35,Female,Single,2,College,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Rarely,No,5,2740,Low,14,2,3,12,8–15 yr,5,2,14,4,3,High,2,Medium,3,Better,3,3,3,Excellent,No,0,0.125,Low Risk,0
24,18–25,Male,Single,5,Doctor,Medical,Research & Development,Research Scientist,3,Travel_Rarely,No,3,12991,Very High,11,1,4,15,8–15 yr,6,0,17,5,3,High,4,Very High,3,Better,3,2,4,Outstanding,No,0,0.049,Low Risk,0
49,46–60,Male,Married,3,Bachelor,Medical,Sales,Sales Representative,2,Travel_Rarely,No,29,3619,Medium,17,3,2,4,4–7 yr,3,0,12,0,4,Very High,3,High,4,Best,2,4,3,Excellent,No,0,0.147,Low Risk,0
26,26–35,Male,Divorced,4,Master,Medical,Research & Development,Research Scientist,2,Travel_Rarely,Yes,3,8673,High,11,3,4,8,8–15 yr,6,2,20,9,2,Medium,2,Medium,3,Better,4,1,3,Excellent,No,0,0.362,Medium Risk,1
30,26–35,Male,Divorced,3,Bachelor,Life Sciences,Sales,Sales Executive,1,Travel_Rarely,No,4,3640,Medium,21,2,5,3,2–3 yr,2,0,11,1,4,Very High,2,Medium,3,Better,3,3,3,Excellent,No,0,0.164,Low Risk,0
30,26–35,Male,Single,3,Bachelor,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,Yes,13,4532,Medium,14,1,3,8,8–15 yr,6,0,22,3,4,Very High,3,High,3,Better,4,2,3,Excellent,No,0,0.326,Medium Risk,1
43,36–45,Female,Single,2,College,Life Sciences,Research & Development,Research Director,1,Travel_Rarely,No,1,4895,Medium,23,1,4,1,0–1 yr,0,0,9,8,1,Low,3,High,3,Better,4,2,3,Excellent,Yes,1,0.716,High Risk,0
33,26–35,Male,Married,2,College,Other,Sales,Sales Representative,1,Travel_Rarely,No,3,2526,Low,25,0,3,2,2–3 yr,1,0,5,5,4,Very High,1,Low,2,Good,3,1,3,Excellent,Yes,1,0.572,High Risk,0
45,36–45,Male,Divorced,4,Master,Life Sciences,Sales,Sales Representative,1,Non-Travel,No,1,4200,Medium,19,0,3,6,4–7 yr,3,0,17,7,3,High,4,Very High,2,Good,3,2,3,Excellent,No,0,0.073,Low Risk,0
30,26–35,Male,Married,4,Master,Medical,Sales,Sales Representative,2,Travel_Rarely,No,1,4061,Medium,15,1,0,0,0–1 yr,0,0,13,1,3,High,2,Medium,3,Better,3,3,4,Outstanding,No,0,0.202,Low Risk,0
38,36–45,Female,Married,4,Master,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,No,1,2539,Low,17,1,3,7,4–7 yr,2,0,13,9,2,Medium,3,High,4,Best,3,3,3,Excellent,No,0,0.297,Medium Risk,0
29,26–35,Male,Single,3,Bachelor,Life Sciences,Research & Development,Manufacturing Director,4,Travel_Rarely,No,1,8145,High,23,0,3,10,8–15 yr,7,4,22,4,3,High,3,High,3,Better,3,2,3,Excellent,No,0,0.037,Low Risk,0
53,46–60,Female,Single,4,Master,Marketing,Research & Development,Manufacturing Director,1,Travel_Rarely,Yes,3,3446,Medium,17,3,3,3,2–3 yr,1,0,10,0,4,Very High,3,High,3,Better,2,4,3,Excellent,No,0,0.585,High Risk,1
26,26–35,Female,Married,1,Below College,Medical,Research & Development,Manufacturing Director,3,Travel_Rarely,No,13,5451,Medium,25,1,1,3,2–3 yr,1,0,17,3,2,Medium,4,Very High,2,Good,3,3,3,Excellent,No,0,0.292,Medium Risk,0
38,36–45,Male,Single,3,Bachelor,Medical,Research & Development,Research Director,3,Travel_Rarely,Yes,7,3219,Medium,22,1,2,11,8–15 yr,6,4,25,9,2,Medium,4,Very High,3,Better,4,3,3,Excellent,Yes,1,0.709,High Risk,1
41,36–45,Female,Single,3,Bachelor,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,No,8,10891,Very High,13,0,4,8,8–15 yr,3,1,20,0,2,Medium,1,Low,3,Better,3,4,4,Outstanding,No,0,0.128,Low Risk,0
39,36–45,Female,Single,3,Bachelor,Marketing,Research & Development,Healthcare Representative,1,Travel_Rarely,No,5,6094,High,23,0,1,2,2–3 yr,1,0,16,8,3,High,3,High,3,Better,3,3,3,Excellent,No,0,0.108,Low Risk,0
34,26–35,Female,Married,3,Bachelor,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,No,13,7959,High,21,2,2,2,2–3 yr,1,0,14,1,4,Very High,4,Very High,3,Better,2,4,3,Excellent,No,0,0.211,Low Risk,0
34,26–35,Female,Single,2,College,Life Sciences,Research & Development,Healthcare Representative,1,Travel_Rarely,No,16,3374,Medium,18,0,2,6,4–7 yr,3,0,10,6,3,High,3,High,3,Better,3,3,3,Excellent,No,0,0.196,Low Risk,0
36,36–45,Male,Married,3,Bachelor,Medical,Research & Development,Research Director,2,Travel_Rarely,Yes,15,2070,Low,11,1,3,4,4–7 yr,3,1,16,2,2,Medium,4,Very High,3,Better,2,4,3,Excellent,No,0,0.531,High Risk,1
34,26–35,Male,Divorced,4,Master,Life Sciences,Research & Development,Research Scientist,3,Travel_Rarely,No,13,15657,Very High,14,1,6,1,0–1 yr,0,0,15,1,3,High,4,Very High,2,Good,3,4,4,Outstanding,No,0,0.23,Low Risk,0
43,36–45,Male,Single,3,Bachelor,Life Sciences,Research & Development,Healthcare Representative,1,Travel_Rarely,Yes,1,3812,Medium,20,1,4,2,2–3 yr,1,0,16,3,3,High,4,Very High,3,Better,1,4,4,Outstanding,Yes,1,0.693,High Risk,1
53,46–60,Male,Married,2,College,Medical,Research & Development,Healthcare Representative,1,Travel_Rarely,Yes,7,2703,Low,14,1,2,13,8–15 yr,10,2,13,6,1,Low,2,Medium,3,Better,3,4,3,Excellent,Yes,1,0.695,High Risk,1
31,26–35,Female,Divorced,2,College,Medical,Sales,Manager,3,Travel_Rarely,Yes,6,7263,High,12,0,2,6,4–7 yr,4,1,20,6,3,High,4,Very High,3,Better,3,1,3,Excellent,No,0,0.148,Low Risk,1
25,18–25,Male,Single,2,College,Technical Degree,Sales,Sales Representative,3,Travel_Rarely,No,6,10570,Very High,16,0,5,25,15+ yr,20,8,33,8,2,Medium,4,Very High,2,Good,3,1,3,Excellent,No,0,0.1,Low Risk,0
35,26–35,Female,Single,3,Bachelor,Medical,Sales,Manager,2,Travel_Rarely,No,5,4858,Medium,25,1,5,8,8–15 yr,3,1,13,2,4,Very High,4,Very High,3,Better,3,4,3,Excellent,No,0,0.024,Low Risk,0
56,46–60,Female,Single,3,Bachelor,Life Sciences,Research & Development,Laboratory Technician,3,Travel_Rarely,No,1,11176,Very High,11,2,1,17,15+ yr,5,1,19,6,3,High,3,High,3,Better,4,3,3,Excellent,No,0,0.045,Low Risk,0
29,26–35,Female,Married,3,Bachelor,Life Sciences,Sales,Sales Executive,2,Non-Travel,No,1,8446,High,13,0,4,1,0–1 yr,0,0,3,5,4,Very High,4,Very High,4,Best,3,4,3,Excellent,No,0,0.23,Low Risk,0
49,46–60,Female,Married,4,Master,Other,Research & Development,Manufacturing Director,1,Travel_Rarely,No,18,2295,Low,19,0,2,8,8–15 yr,3,1,21,9,4,Very High,4,Very High,3,Better,2,1,4,Outstanding,No,0,0.22,Low Risk,0
49,46–60,Male,Single,3,Bachelor,Medical,Human Resources,Human Resources,2,Non-Travel,No,7,3509,Medium,22,0,3,0,0–1 yr,0,0,13,6,4,Very High,4,Very High,3,Better,3,4,3,Excellent,Yes,1,0.302,Medium Risk,0
31,26–35,Male,Divorced,4,Master,Marketing,Sales,Manager,2,Travel_Rarely,No,2,7932,High,20,1,0,6,4–7 yr,4,1,15,6,1,Low,3,High,3,Better,1,2,3,Excellent,No,0,0.169,Low Risk,0
40,36–45,Male,Married,2,College,Life Sciences,Research & Development,Healthcare Representative,4,Travel_Frequently,Yes,2,1772,Low,16,0,6,3,2–3 yr,1,0,3,9,4,Very High,4,Very High,3,Better,3,2,3,Excellent,No,0,0.471,Medium Risk,1
